feature_1,feature_2,feature_3,feature_4,feature_5,cluster
-10.869209,8.190710,6.340032,-3.356010,-1.990915,2
-13.404741,9.587886,10.065498,-6.799787,-0.998610,2
-6.678177,10.700408,3.954644,-10.795991,-16.176629,2
4.716538,-6.871739,8.283768,0.476718,4.829156,1
-4.434609,5.629676,7.698260,7.128167,-2.223227,0
-2.826068,-4.870884,-1.419137,8.544001,-4.151008,1
-14.210640,17.212641,5.278887,-6.970138,-7.862692,2
-6.847998,-11.020257,6.775474,1.580485,2.311396,1
-5.693628,11.687061,15.021315,-5.781198,-3.019792,2
-7.001088,-13.356837,8.945319,-3.872899,10.099848,1
-11.771909,9.067534,17.147462,-6.988346,-8.155201,2
-1.259546,-4.100695,3.459135,4.057562,-0.696832,1
-4.179476,2.837101,9.759203,0.891449,-4.429458,2
-7.567352,-4.073955,15.384914,8.596873,12.361274,1
-13.321202,8.514326,-1.094239,-8.208987,-7.787878,2
0.923097,0.481930,-4.891752,5.521383,-2.609756,3
-15.276738,8.390739,6.616246,-2.759246,-3.021798,2
-7.484850,-6.740666,2.886062,-0.164991,7.773358,1
-9.319667,1.948213,4.294948,5.732777,5.657914,1
-0.786300,-9.905542,14.777154,2.765638,2.476022,1
-7.724218,-8.488067,13.132914,-2.614465,5.353296,1
-7.496319,16.406190,9.901103,-13.268619,-1.103763,2
-2.921562,-3.284266,-0.617246,8.873211,-7.550087,3
-5.544476,-6.294703,-0.582431,6.497492,1.746146,1
-0.536539,-5.596429,2.622578,4.625135,-11.033786,3
2.067813,10.658042,1.991078,4.539507,-6.394239,0
7.867806,13.369910,3.009761,7.979239,-8.920004,0
-15.047980,13.849435,7.508050,-2.986962,-12.241474,2
0.324786,5.686682,-5.619346,-1.004831,-10.642955,3
-19.347595,-5.721708,0.174208,-6.414091,-6.751509,3
-8.381700,3.643127,8.580469,-6.775574,2.413878,2
-10.136823,5.554746,4.411949,3.189867,-8.085807,0
-17.312549,-4.725775,1.210372,2.886960,-0.711129,3
-7.303255,-7.694113,5.738664,6.915936,-6.593225,3
-14.098568,5.049882,12.276027,-11.700277,1.849864,2
-5.038604,-2.851456,4.409497,-3.516727,-2.135153,3
-2.706973,12.421790,4.781471,2.121950,-2.188208,0
-8.355786,11.889306,12.349598,2.149486,-11.438972,2
-4.230952,-8.197646,0.983481,-7.683592,-13.140949,3
4.574603,-15.786190,-0.903471,7.135152,16.360214,1
-6.387370,-7.980227,4.611528,-0.232292,-4.087351,3
-18.987932,18.753023,8.596924,-10.094681,-3.690355,2
-4.530995,16.105577,2.936432,-8.179747,-0.209128,2
-7.898478,-13.228241,3.189121,0.889906,5.998279,1
-18.481248,10.996456,4.127954,-6.160831,-4.625118,2
-14.082230,2.746629,5.703251,-1.144967,-7.001246,2
2.180663,-2.903511,8.654413,-5.026265,4.914892,3
-20.191811,6.363871,8.937286,-19.490742,-8.862152,2
-16.720969,-5.516644,8.712019,0.442140,-8.492885,3
0.900567,7.462952,6.260711,1.322454,-6.394647,0
-5.303807,10.900346,12.467499,1.644418,-9.655625,0
2.984687,13.141368,8.707427,8.500564,-6.774608,0
-6.794985,3.659824,7.052241,0.855856,-3.309625,0
-14.615026,-6.537396,-3.181389,2.246297,-9.426121,3
-6.705285,7.468224,6.296196,6.850895,-9.275498,0
-10.566165,2.332939,4.391874,-1.556197,-6.264965,3
-10.928127,-6.718023,4.954326,1.950039,6.892873,1
-17.647060,-12.033136,0.708074,10.232376,9.210537,1
-0.991421,19.360774,2.815570,-8.501003,-2.065561,2
-13.729124,-9.279738,20.222070,-1.996073,12.357036,1
-2.187798,3.625562,1.063360,5.371158,-10.531460,0
-11.874818,9.184080,6.938966,-1.511063,-17.597947,2
-14.456041,11.779986,9.176204,-0.452168,7.434800,2
-4.196846,-2.909807,10.918289,7.002539,0.377476,1
-19.649715,-4.166728,0.489129,0.898473,-1.689114,1
-2.770299,7.493104,-2.593080,-9.036301,-13.575467,3
-6.489753,6.221385,0.700520,-8.874945,-7.286127,2
-9.879115,-5.357899,-3.423639,7.313583,-8.459278,3
-12.699820,3.973855,-4.714081,0.215602,-6.787535,0
1.508394,-11.606269,10.168438,10.164283,2.265813,1
-12.976133,15.368744,1.743025,-8.075239,-4.053196,2
-3.082880,11.539223,8.968655,-4.028312,-8.552133,0
-9.929024,-9.508414,7.396964,-1.902191,7.402854,1
-9.109644,-2.893210,-5.515619,-3.339503,-2.588151,3
-2.682756,3.170896,10.353993,5.732835,-2.924467,0
-4.985436,-4.139620,1.407634,-4.711676,1.683172,3
-7.695428,8.062593,0.261788,-4.940829,-2.248739,0
-11.576787,-9.558766,1.275049,5.021944,11.815206,1
-2.791278,-1.887290,10.112574,2.074063,-2.397730,1
6.819675,11.383451,-1.316639,5.255938,-11.753036,0
-17.592830,5.255712,6.132579,-13.969162,-7.242773,2
-5.251128,-7.866406,5.557691,3.714719,2.684445,1
5.835910,7.716329,-2.875836,0.744454,-8.243245,0
-4.312109,-11.501832,1.473939,-12.339011,4.023877,1
-12.612033,-1.629633,11.134184,0.621157,-3.105891,2
-14.220216,12.175760,2.055420,-7.840052,-7.838950,2
-0.944958,-5.644677,1.608498,10.189458,-1.570275,1
-5.331006,-5.669443,9.392518,1.095862,3.512348,1
-0.878533,2.758718,9.260014,1.048659,-9.493242,0
-7.840060,1.574183,7.125574,-7.070459,-2.967787,2
-10.678540,5.160027,3.388408,-11.201383,-10.287310,2
2.080112,19.625067,9.802205,-5.623680,-9.300798,0
-6.769086,-1.173557,5.243101,-1.658176,5.102099,3
-9.810384,-8.505790,6.693049,-3.342248,1.166479,3
-10.983125,7.999396,10.600712,-4.052961,-3.510436,2
-19.531547,-10.268349,12.828321,11.814038,-1.986296,1
-1.513899,6.013202,4.988889,0.046602,-6.312040,0
-13.781239,4.964792,9.322939,0.391685,-9.550039,2
-2.544434,2.937526,3.971143,0.057655,-9.114784,3
-14.696064,-4.422779,6.934337,1.119901,20.126989,1
-6.266758,-0.714935,8.938919,0.760533,2.702395,1
-9.185919,10.915275,7.692808,4.772122,-1.475724,0
-13.971938,-17.642372,-0.304759,8.335221,1.402161,1
-4.133408,19.459549,11.767401,-4.506675,-1.138058,2
-5.914456,13.217504,1.376759,-0.257747,-16.327331,0
-21.486862,-6.655529,11.843197,-9.792362,-0.887202,1
-5.347439,3.235580,9.410353,-2.625063,-9.847360,2
-3.643760,-1.774224,-0.904838,-7.756253,-1.598946,3
-13.550237,-11.845166,8.922433,-5.942668,6.363825,1
-14.197609,4.378410,7.685189,-5.406496,-9.972188,2
-9.756373,11.671902,4.066705,-6.735551,-7.392798,2
-7.965391,-9.128044,-5.366040,0.960750,-6.928177,3
-4.098960,-6.558889,18.148535,-1.195291,8.800652,1
-5.630110,-13.750504,-5.090804,-2.290328,-2.625422,3
-7.244755,-8.864944,0.320091,-5.416104,-9.745649,3
-5.220208,-7.885829,10.870782,-0.155132,6.726981,1
-7.286900,0.982055,5.657197,-1.808584,-13.990896,0
-3.638079,9.351927,-2.483862,-0.748744,-6.325014,0
-16.184546,8.383294,2.648660,-6.070841,-0.176310,2
7.037886,2.021448,7.454725,-1.280043,-9.315254,0
5.388663,6.399986,2.538945,0.564247,-13.601880,0
0.207603,5.701167,7.492872,-1.843126,-15.904038,0
0.801456,16.944370,-1.549199,12.638337,-16.640066,0
-2.134567,2.175818,5.781970,2.999885,-5.750851,3
-6.830929,11.101143,8.602332,-12.385578,-1.126912,2
-3.671879,-2.106850,9.301069,-1.362668,-10.084788,3
-12.219549,16.339886,4.723744,-3.838273,-5.657215,2
0.687139,-5.684269,2.202589,11.292763,10.266620,1
-7.457222,8.385352,4.918503,7.444127,-15.341950,0
3.120294,-3.668613,4.339327,-4.402232,-2.359839,3
-4.770506,-0.769771,9.591194,0.801517,8.981887,1
-3.784338,1.449150,7.427491,-1.617714,3.246969,1
-6.995469,9.393309,1.254070,6.848768,-7.614914,0
-20.241143,13.239233,7.725835,-3.211875,13.267688,2
-10.346032,-4.285019,0.116801,8.501611,-11.105357,3
-1.581831,-2.700132,-7.168374,-2.342503,-2.666917,3
-8.688229,-13.792594,4.250626,-11.686515,-4.033129,3
-10.740314,4.777031,11.099845,-0.576971,-15.594440,2
-14.567387,12.653878,10.941108,-6.926321,-6.172311,2
-12.308379,3.339483,9.531112,-9.774393,-9.295560,3
-5.069066,3.007505,2.716120,4.145515,-1.842691,3
-2.444188,16.281957,3.316595,15.574016,-3.751290,0
-14.955769,-3.014631,3.650565,-2.028962,5.164298,1
-6.460770,13.824354,3.687073,-5.135479,3.407287,2
-11.709492,6.549032,8.296396,-13.339086,-2.610605,2
-2.032535,2.142319,6.588408,-12.015185,-4.545341,2
5.337985,11.235605,5.081204,-1.144210,-3.950061,2
-1.331125,12.868612,-2.753052,7.691940,-5.187145,0
-7.847300,8.302389,5.241357,4.545364,-3.321553,0
-3.044349,3.838075,1.871632,-4.016220,2.943998,0
-9.503339,-5.095005,4.216057,0.746631,-2.841325,3
-1.530386,-1.602737,-5.401717,-0.499828,-0.817761,3
-5.243492,8.850520,1.922755,-1.591059,-6.347476,0
-5.714029,-4.072645,8.759144,-1.039887,5.968969,1
0.079902,-4.246745,-0.528980,-2.925840,8.865307,1
0.561636,12.801825,1.987373,-0.905922,-8.254886,0
-7.796042,5.743416,10.438462,-2.325679,2.879544,2
1.606655,9.380876,-1.809926,-4.502224,-8.558551,0
-5.814719,6.295225,1.881921,-1.472495,-2.565006,3
-5.239240,1.132204,-3.729579,-8.856179,-4.634641,3
-4.052389,-6.210607,-2.977873,-7.132913,-12.934561,3
-9.587275,9.351695,5.009379,-4.977264,-2.238009,2
-13.747421,9.062306,3.070053,-2.342957,1.072730,2
-2.456132,-1.149955,1.665251,-2.603743,1.827241,3
-11.198804,1.120512,2.175853,-2.498481,-8.295095,3
-9.158845,-1.698305,5.499855,-10.010250,-5.487444,2
-4.901092,-6.368177,8.626892,-0.729226,0.803335,1
-11.523963,9.171141,6.775795,-15.351584,-6.432689,2
-4.204685,-2.803706,6.889458,-6.122682,-7.560393,3
-12.607587,-4.553429,-2.307910,-16.008343,6.089443,3
-2.641767,9.315437,16.956089,1.011365,-5.371890,0
-4.707853,16.249176,5.622653,7.132392,-14.307429,0
-11.387153,2.767959,4.581527,-4.451815,-11.182295,2
-6.373324,7.830193,2.213061,2.382540,4.693666,0
5.154497,8.470485,6.648437,5.423890,-8.885730,0
-5.362520,9.153711,-0.377096,-6.015240,2.157027,2
-8.838352,-7.492693,5.607562,5.130160,2.313400,1
-0.084385,-10.579042,-1.252068,-5.223943,-2.279652,3
5.157162,15.621595,-0.106519,-12.365508,-3.954170,2
-6.736302,-3.653863,-4.807897,-4.946180,-10.598339,3
1.601103,18.498251,3.412938,-1.795511,-11.327199,0
-10.819028,-11.942566,6.482804,-0.338153,-5.735047,1
-11.111893,-12.056077,12.473327,0.348424,2.143209,1
-4.434174,-5.664720,12.872022,4.071394,2.955163,1
-4.897485,11.409185,6.308189,7.160869,-9.429709,0
-12.488576,10.595220,9.147278,-3.393206,-5.983724,2
2.442756,-3.823147,1.621449,2.102514,-10.522070,3
0.228009,-2.311227,1.465388,-7.711405,-2.740638,3
0.635363,-0.362410,2.641833,0.537099,-6.956011,3
-6.158341,-13.757676,3.770007,2.692894,-9.144731,3
2.542822,-1.122110,4.879276,-3.575787,4.865883,1
-11.669282,3.747850,4.398789,0.532528,-9.040176,2
-5.097254,10.133226,4.557764,7.915136,5.755035,0
-1.723211,7.069169,5.894664,-6.122956,-8.621798,2
-3.847542,1.433702,-5.503359,-12.941819,0.114654,3
-3.803964,3.530410,11.852377,-3.383087,-1.718270,3
-2.787121,10.414129,-0.987566,14.201930,-6.233521,0
-5.874898,11.809442,0.460541,-1.407437,-1.927046,2
-7.084982,9.647065,6.684169,-9.054823,-2.869359,2
-8.621152,-4.711966,-1.357785,-8.101335,-7.748821,3
-4.750118,-8.341399,1.400442,5.155291,-1.244588,3
1.871163,11.845129,-5.122342,-0.146690,-14.585911,3
-7.602703,-12.800427,5.783715,-7.445773,5.227920,1
-5.863284,8.424711,6.327912,-5.294455,-5.102299,2
-8.299547,3.189394,8.319735,-6.529513,-15.902538,2
-12.826019,13.119157,5.742732,-9.000083,0.243020,2
-4.709227,13.990469,0.420266,-5.478547,-9.911400,2
0.376163,7.999059,6.495608,-1.046756,-6.446678,0
-7.056135,16.028258,-2.369376,4.907455,4.072651,0
-11.098538,7.750958,10.308206,-4.077928,-4.782721,2
-1.290762,10.239119,2.105163,-0.382022,-5.719378,0
-1.413446,10.261205,12.527145,1.496692,-5.484520,0
-11.074870,15.783648,4.067180,8.162251,-14.851765,0
1.482752,-6.743233,3.798464,1.743455,6.953086,1
-11.021538,-2.832030,-4.633635,4.143007,1.131438,3
-10.247563,-7.443357,3.146788,12.748046,-1.776541,1
-5.474152,-8.317322,7.010557,-1.747523,2.758076,1
-10.225473,-3.638804,4.295445,11.152349,7.551081,1
-5.454229,-13.134123,-3.956461,-1.681488,-1.493963,3
1.660413,11.310187,4.289050,-6.331635,-4.731536,0
-1.938059,9.765795,2.821818,1.688442,-5.340618,0
-7.241972,1.720336,10.432796,-2.690874,-11.446916,2
-2.004121,-6.332857,8.271431,7.027531,-9.354710,1
-4.974202,6.067462,8.887889,3.758247,-10.344175,0
1.469413,-6.864970,1.344108,4.245314,10.144609,1
-10.472891,-14.007594,1.220447,2.604779,-4.785703,3
-8.044656,-3.062836,-4.318534,-2.394156,-1.124336,3
-15.487634,-10.057374,-9.882811,-1.791448,-4.927019,3
-10.542829,12.996987,0.182488,-10.535400,-4.001469,2
-10.723525,-5.805195,1.652358,1.871348,-5.253755,3
-2.166383,3.702768,7.007841,-2.623951,0.870045,0
-15.880835,8.313112,5.106439,6.380365,-4.198702,2
-12.332105,-1.783666,6.830582,2.116548,7.702524,1
-13.008938,-16.160202,8.445782,7.257792,12.581090,1
-2.571460,12.887713,4.433633,-8.150683,-4.880623,2
-21.782396,8.726801,13.762593,-1.122141,-1.536513,2
-8.154456,6.391685,7.086752,-4.137469,-3.314635,0
-9.688508,14.830105,4.691044,-2.934374,-4.569110,0
-12.148522,-14.177342,12.075061,10.575367,3.639205,1
-17.639187,-12.434094,6.267872,-2.913597,3.505167,1
-12.837136,3.382193,1.438631,-8.189232,-8.123107,2
2.735849,5.492568,-2.402428,-5.809976,-3.849577,0
1.197805,-15.010072,4.361202,1.890271,5.562257,1
-9.611332,-6.879308,-0.071035,2.939100,4.084902,1
-3.353852,9.088177,11.406099,-7.585753,-14.882859,2
-1.926471,11.897518,-0.347678,-3.914971,-16.863633,2
0.027173,14.347660,10.486357,8.883965,-3.636078,0
0.373587,10.570537,20.034283,7.571044,-7.519215,0
-9.749619,1.976967,1.047658,0.905934,-5.325089,0
-5.379790,-1.669062,-2.053905,-1.188895,-16.617054,3
-3.490733,-12.108706,-1.829642,4.578313,11.029744,1
-6.509454,15.417619,5.951621,-8.004164,-6.360861,2
-8.264166,10.892776,1.636685,0.514701,-9.888160,0
-6.304979,-9.638992,10.680223,3.088283,0.401605,1
0.180993,-9.236535,9.585382,-3.289667,6.302987,1
-2.675009,-0.963045,-0.215604,0.332337,0.971870,3
-6.235907,4.038911,-1.119941,-1.663769,-4.481453,2
-12.608213,8.250454,-1.548568,-7.715573,-1.380648,2
-10.910884,-0.621115,9.825943,-11.949510,-6.063838,2
-1.136923,-13.917437,7.631922,4.166383,7.626980,1
-7.296377,-1.036938,3.725764,-5.908512,-10.911918,2
2.183953,-12.105300,-8.436749,-4.471274,-1.261729,3
-5.611411,-6.499862,12.752455,2.512216,5.701704,1
-6.378144,2.791013,-4.253722,9.453391,-3.607799,0
-14.091414,12.590157,5.005760,-2.737281,-9.084071,2
-13.438290,2.917614,4.368249,-4.846085,-3.388353,2
-0.005727,-12.068149,3.327563,-0.391417,-0.605191,1
-16.831267,7.899814,6.397830,7.350748,-11.923336,2
-6.565733,13.809862,4.388401,-8.103429,-5.034110,2
-5.153873,7.294388,-6.372216,-4.758477,-4.179808,2
-0.151856,18.424409,11.366979,9.939103,-9.435706,0
1.595146,-11.951575,8.296560,-1.690053,-2.438661,1
-5.506161,-1.605192,2.011104,-1.822494,-6.127658,0
-3.254631,-6.257436,4.116115,4.181913,8.163499,1
-9.636038,-12.929322,7.306651,1.171377,1.895311,1
-10.503525,-0.095006,-7.218879,-4.524875,-1.193212,3
-3.725510,-2.306762,1.335428,-6.336842,-5.082933,3
-8.062077,17.775638,9.318271,8.330945,-3.271267,0
-8.157732,11.663307,11.847722,-10.385053,-10.864103,0
-8.973395,1.265283,-6.619746,-6.211721,-6.163206,3
3.974604,-9.717757,7.939547,4.779727,4.379464,1
-7.615362,12.556068,5.858882,-0.847223,-13.281149,0
-3.710825,7.140182,8.194679,4.194486,-8.684458,0
-7.573353,10.585523,0.099758,-5.088349,0.448617,0
-6.486934,-18.829331,11.905161,3.754743,9.151502,1
0.931174,-8.496760,-3.689475,-2.062975,-2.637354,3
1.319066,-0.590519,-4.127692,-9.349095,-5.810504,3
-9.162263,-5.557483,5.714372,-13.905584,-0.333528,2
0.864900,3.400676,6.551928,2.805431,-4.417371,0
-15.722306,-7.222489,6.585510,-0.307882,-3.812064,1
-7.566836,15.577108,1.293584,-2.352137,-0.400963,2
-1.398529,6.620543,10.918659,-2.499867,-7.813985,0
-1.123286,-0.997434,-0.152458,1.538187,-7.709880,3
-7.730962,-8.737844,3.024956,-5.002461,6.649863,3
-11.792547,-9.961494,10.073783,-2.819422,4.688329,1
0.295251,-10.949230,3.424650,-5.044950,-11.251753,3
-8.613185,5.606787,0.995776,-2.639662,-3.215853,2
-5.452339,-6.232716,10.549601,4.800323,4.609355,1
-6.101896,-8.438227,6.358913,1.965984,5.530670,3
-10.808712,9.201661,5.976369,-4.083918,0.793333,2
-9.991309,5.232917,11.225804,-8.500919,-6.947330,2
-17.558481,6.850415,12.603807,3.138495,3.886982,1
-0.143010,8.650142,0.405910,-5.601066,-9.112202,0
-9.308478,12.745554,7.867300,12.789443,-8.418518,0
-4.717037,-4.220175,2.996331,-4.029101,1.928689,3
-10.715779,4.645046,-8.243054,0.812751,-1.798264,3
-1.898651,3.785473,2.061339,-0.664910,-5.006024,2
0.294725,14.429542,9.908889,-4.915177,-11.568752,0
-7.815831,-3.909678,13.260453,14.970118,7.059617,1
4.537540,20.508777,2.825686,-0.254343,0.387295,0
-8.299559,-3.021682,6.641203,1.654374,-8.428094,3
-6.796631,-5.112665,6.079298,-0.429019,-7.833576,3
-0.019206,16.270004,9.436233,12.739082,-10.716365,0
6.267507,7.769465,9.497734,5.200049,-0.036469,0
-1.574161,-9.020967,2.862488,-2.699305,0.058437,3
-4.612424,7.300714,0.628492,1.166741,-4.859373,0
-5.792945,-4.487989,9.801932,2.774395,5.986257,1
-8.693951,2.412003,7.249587,3.458093,-5.627163,0
-18.798264,-8.743479,8.640960,-4.270010,-10.044817,3
-3.800705,3.321373,3.335645,-6.609377,2.637397,3
-8.177843,-5.144275,10.400360,-2.654893,9.591362,1
-0.888062,-5.796659,0.589224,-7.219371,4.303197,3
-10.646910,9.254711,5.938491,-2.548413,-3.686665,0
4.890523,9.401128,0.333458,9.588790,-4.185077,0
-16.351662,1.786401,12.212295,-8.899535,1.305138,2
-14.734490,-14.472165,1.353898,2.737016,12.824027,1
-4.883924,5.747640,13.467150,3.998078,-13.184047,0
-3.437493,3.482611,-1.341154,6.035799,-0.098427,0
-5.939025,-14.558826,2.785969,-6.259706,-9.942079,3
2.231052,5.468267,-0.256370,-4.234125,-2.755688,2
-13.359725,-8.840121,1.488529,-1.756436,-7.071038,3
-5.386345,-12.597283,5.191735,7.764529,4.727804,1
-9.267621,4.134920,9.908088,-2.773825,6.282283,0
-0.049602,2.413120,13.797173,7.870370,-9.225505,0
-0.067627,17.527992,17.742754,-6.548444,-4.885378,2
-9.968065,7.798959,7.407643,-9.928932,4.084193,2
-7.483445,11.858291,4.018679,-16.519932,-0.877737,2
-9.931480,2.556622,16.585233,-1.196404,-5.834732,2
-5.965925,-4.666370,6.453666,-1.779689,-9.773148,3
-13.923961,6.107615,5.130223,-12.482572,-10.459790,2
-3.407657,9.841485,7.635431,-8.841477,-7.943865,2
-7.016632,-13.504668,5.107112,-2.401713,3.296721,1
-9.947123,-10.350676,5.382639,2.874381,4.964321,1
-3.834419,-14.299892,5.741481,8.087789,4.870036,1
1.630965,-7.634562,20.331938,4.849848,-4.642362,1
-9.203196,-7.832529,8.739962,0.727775,7.094921,1
-2.439551,8.893661,5.630303,1.251368,-9.747937,0
-7.007880,-2.974683,10.041524,0.169229,8.019945,1
-3.863636,2.565160,-5.040655,-3.188629,-4.931913,3
-2.128237,-2.876143,-5.967998,-4.021942,-7.212189,3
-6.690092,-8.238171,10.391113,-3.091663,2.874569,1
-8.626694,-8.935426,5.807624,6.022010,-3.920101,1
-1.012740,-7.933220,0.839363,4.020740,0.904667,1
-3.577922,-1.691286,-3.633140,-0.614282,-2.354716,3
-4.734286,4.352931,1.194565,3.619491,-11.126527,3
-15.890012,-6.131014,11.119299,-0.860252,-8.793760,1
-14.235864,1.915551,3.398733,-6.170408,-13.611727,2
-7.642514,9.132594,12.766697,-0.270872,-9.491887,2
-9.623152,-1.647612,-4.416342,-1.066179,-1.941055,3
-8.907082,5.890193,4.770334,4.561465,-10.508346,0
-14.578613,7.478341,7.899854,4.225120,9.186092,2
-0.723635,16.403756,2.048528,-2.069298,-9.388412,0
-5.321532,12.176325,9.502651,5.082219,-14.730751,0
-0.480916,-3.243673,0.893118,1.409189,-8.483933,3
-2.490295,6.396079,-2.683847,-0.715649,-9.786650,2
-8.123565,-0.801600,9.778398,5.696689,7.475858,1
-7.066221,-5.200180,7.583252,5.685501,3.757869,1
-12.717872,7.778399,1.229958,-3.034930,-8.285129,0
-9.190640,-2.252118,5.160769,-2.474703,1.150443,3
-5.089421,9.494890,2.328502,-0.199311,-8.425488,0
-8.347290,6.042611,-3.665178,-4.111676,-4.910544,3
-8.391027,-3.255515,-1.777610,-2.454366,-4.632415,3
-0.570502,-13.366989,4.054691,-0.956006,11.033642,1
-3.721197,-9.433504,-1.158817,-5.262095,2.477457,3
-9.490227,12.762503,9.607923,-7.523421,-9.231510,2
1.772796,10.084755,-1.588815,2.839074,-4.953040,0
0.065979,11.583216,7.215117,21.236827,-4.025175,0
5.246562,9.592659,10.536365,2.310762,3.424112,0
-15.878690,2.676356,0.858531,-3.418565,-4.621588,3
-10.169455,10.471763,14.539443,-0.825969,-2.017728,2
-6.728023,9.087242,12.270620,-7.423604,-3.540471,2
-15.492374,14.969806,10.225759,-2.162289,-4.171122,2
3.876858,11.147197,1.628580,-6.230539,-15.244732,2
-11.982497,5.084318,10.116247,-7.713281,-1.063819,2
-16.968047,-4.410627,-2.518975,0.800215,-1.825196,3
-2.760388,7.819546,0.102061,-0.910687,-3.102671,0
-13.177905,8.245574,12.547479,-4.782680,-9.019572,2
-12.222114,4.420965,8.111322,2.317010,4.733577,3
-10.278602,-3.950380,-0.582919,-3.220389,-7.817725,3
-13.642598,3.110308,5.478754,-3.421426,-1.426828,2
3.400926,-14.354370,6.217255,0.638234,5.698485,1
-1.028596,10.319562,4.665446,0.800234,-13.956481,0
-1.970333,-9.630252,4.595920,-1.684543,-3.811047,3
